Output Name,File Path,Rows Saved,Columns Saved,Expected Purpose
04_daily_care_load_trend.csv,C:\Users\Mohit\OneDrive\Documents\Data Analytics\Unified Mentor Projects\System Capacity & Care Load Analytics for Unaccompanied Children\data\processed\04_daily_care_load_trend.csv,720,21,Notebook 04 trend and temporal analysis output
04_weekly_care_load_trend.csv,C:\Users\Mohit\OneDrive\Documents\Data Analytics\Unified Mentor Projects\System Capacity & Care Load Analytics for Unaccompanied Children\data\processed\04_weekly_care_load_trend.csv,154,19,Notebook 04 trend and temporal analysis output
04_monthly_care_load_trend.csv,C:\Users\Mohit\OneDrive\Documents\Data Analytics\Unified Mentor Projects\System Capacity & Care Load Analytics for Unaccompanied Children\data\processed\04_monthly_care_load_trend.csv,36,27,Notebook 04 trend and temporal analysis output
04_yearly_calendar_period_comparison.csv,C:\Users\Mohit\OneDrive\Documents\Data Analytics\Unified Mentor Projects\System Capacity & Care Load Analytics for Unaccompanied Children\data\processed\04_yearly_calendar_period_comparison.csv,3,27,Notebook 04 trend and temporal analysis output
04_timeline_executive_summary.csv,C:\Users\Mohit\OneDrive\Documents\Data Analytics\Unified Mentor Projects\System Capacity & Care Load Analytics for Unaccompanied Children\data\processed\04_timeline_executive_summary.csv,3,14,Notebook 04 trend and temporal analysis output
04_timeline_shift_summary.csv,C:\Users\Mohit\OneDrive\Documents\Data Analytics\Unified Mentor Projects\System Capacity & Care Load Analytics for Unaccompanied Children\data\processed\04_timeline_shift_summary.csv,3,13,Notebook 04 trend and temporal analysis output
04_final_timeline_comparison_summary.csv,C:\Users\Mohit\OneDrive\Documents\Data Analytics\Unified Mentor Projects\System Capacity & Care Load Analytics for Unaccompanied Children\data\processed\04_final_timeline_comparison_summary.csv,3,18,Notebook 04 trend and temporal analysis output
04_daily_high_load_trend_dataset.csv,C:\Users\Mohit\OneDrive\Documents\Data Analytics\Unified Mentor Projects\System Capacity & Care Load Analytics for Unaccompanied Children\data\processed\04_daily_high_load_trend_dataset.csv,720,27,Notebook 04 trend and temporal analysis output
04_sustained_high_load_period_summary.csv,C:\Users\Mohit\OneDrive\Documents\Data Analytics\Unified Mentor Projects\System Capacity & Care Load Analytics for Unaccompanied Children\data\processed\04_sustained_high_load_period_summary.csv,2,11,Notebook 04 trend and temporal analysis output
04_step_4g_validation_summary.csv,C:\Users\Mohit\OneDrive\Documents\Data Analytics\Unified Mentor Projects\System Capacity & Care Load Analytics for Unaccompanied Children\data\processed\04_step_4g_validation_summary.csv,13,2,Notebook 04 trend and temporal analysis output
