Date,Children apprehended and placed in CBP custody*,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care,total_system_load,net_daily_intake,care_load_growth_rate_pct,positive_net_intake_flag,net_intake_direction,cumulative_net_intake_pressure,consecutive_positive_net_intake_days,backlog_indicator,backlog_severity_score,logical_constraint_anomaly_flag,year,month,month_name,year_month,day_of_week,rolling_7d_avg_system_load,rolling_7d_avg_net_intake,rolling_7d_avg_growth_rate_pct,rolling_7d_avg_backlog_severity,rolling_14d_avg_system_load,rolling_14d_avg_net_intake,rolling_14d_avg_growth_rate_pct,rolling_14d_avg_backlog_severity,system_load_vs_7d_avg_gap,system_load_vs_14d_avg_gap,net_intake_vs_7d_avg_gap,net_intake_vs_14d_avg_gap,above_7d_system_load_avg_flag,above_14d_system_load_avg_flag,positive_7d_net_intake_pressure_flag,positive_14d_net_intake_pressure_flag,rolling_pressure_level,rolling_7d_std_system_load,rolling_7d_std_net_intake,rolling_7d_std_growth_rate,rolling_14d_std_system_load,rolling_14d_std_net_intake,rolling_14d_std_growth_rate,rolling_7d_system_load_range,rolling_14d_system_load_range,rolling_7d_net_intake_range,rolling_14d_net_intake_range,system_load_volatility_flag,net_intake_volatility_flag,growth_rate_volatility_flag,volatility_pressure_score,volatility_pressure_level,daily_system_load_change,daily_net_intake_change,daily_growth_rate_change,daily_backlog_severity_change,daily_cbp_custody_change,daily_hhs_care_change,system_load_pct_change,net_intake_pct_change,cbp_custody_pct_change,hhs_care_pct_change,system_load_spike_flag,major_system_load_spike_flag,net_intake_spike_flag,major_net_intake_spike_flag,growth_rate_spike_flag,major_growth_rate_spike_flag,backlog_severity_jump_flag,system_load_change_direction,net_intake_change_direction,pressure_spike_score,pressure_spike_level,pressure_spike_risk_category,rolling_pressure_signal,volatility_pressure_signal,pressure_spike_signal,pressure_spike_risk_signal,high_load_signal,backlog_pressure_signal,logical_anomaly_signal,intake_pressure_signal,daily_pressure_signal_count,daily_strain_score,daily_strain_level,high_pressure_day_flag,severe_pressure_day_flag,pressure_window_break,pressure_window_id,prolonged_pressure_window_flag,prolonged_pressure_window_category,rolling_pressure_component_score,volatility_pressure_component_score,pressure_spike_component_score,daily_strain_component_score,load_intensity_component_score,net_intake_component_score,growth_pressure_component_score,backlog_component_score,window_pressure_component_score,critical_window_component_score,final_pressure_stress_score,final_pressure_stress_level,operational_response_category,primary_pressure_driver,final_pressure_priority_rank
2023-01-12,33,53,34,6566,436,6619,-402,0.0,False,Relief: Discharges Exceed Transfers,-402,0,No Current Backlog Pressure,0,False,2023,1,January,2023-01,Thursday,6619.0,-402.0,0.0,0.0,6619.0,-402.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,Normal Rolling Pressure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stable Load Volatility,Stable Intake Volatility,Stable Growth Volatility,0,Stable Pressure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,No System Load Change,No Net Intake Change,0,No Major Spike,No Spike Risk,0,0,0,0,0,0,0,0,0,0,Normal Daily Pressure,0,0,1,,0,No Prolonged Pressure Window,0,0.0,0.0,0.0,4.73,8.65,0.0,0.0,0,0,0.99,Normal Operating Pressure,Routine Monitoring,No Major Pressure Driver,1
2023-01-22,32,49,39,7122,227,7171,-188,8.34,False,Relief: Discharges Exceed Transfers,-590,0,No Current Backlog Pressure,0,False,2023,1,January,2023-01,Sunday,6895.0,-295.0,4.17,0.0,6895.0,-295.0,4.17,0.0,276.0,276.0,107.0,107.0,True,True,False,False,Load Above Rolling Average,390.3229432149743,151.32085117392117,5.897270555095806,390.3229432149743,151.32085117392117,5.897270555095806,552.0,552.0,214.0,214.0,Moderate Load Volatility,High Intake Volatility,High Growth Volatility,5,High Volatility Pressure,552.0,214.0,8.34,0.0,-4.0,556.0,8.339628342649942,-53.233830845771145,-7.547169811320753,8.467864757843447,True,True,True,True,True,True,False,System Load Increase,Net Intake Increase,6,Critical Pressure Spike,Major Load Increase Risk,1,1,1,1,0,0,0,0,4,7,High Daily Strain,1,1,2,2.0,1,Critical Prolonged Strain Window,0,8.33,10.0,7.0,5.3,4.04,7.19,0.0,10,0,6.07,Critical System Pressure,Immediate Escalation Required,Sudden Spike Pressure,5
2023-01-23,32,50,39,7280,181,7330,-142,2.22,False,Relief: Discharges Exceed Transfers,-732,0,No Current Backlog Pressure,0,False,2023,1,January,2023-01,Monday,7040.0,-244.0,3.52,0.0,7040.0,-244.0,3.52,0.0,290.0,290.0,102.0,102.0,True,True,False,False,Load Above Rolling Average,373.16350303854745,138.7515765676196,4.319305499730252,373.16350303854745,138.7515765676196,4.319305499730252,711.0,711.0,260.0,260.0,Moderate Load Volatility,High Intake Volatility,High Growth Volatility,5,High Volatility Pressure,159.0,46.0,-6.119999999999999,0.0,1.0,158.0,2.2172639799191263,-24.468085106382976,2.0408163265306145,2.218477955630438,False,False,False,False,True,True,False,System Load Increase,Net Intake Increase,2,Moderate Pressure Spike,Moderate Spike Watch,1,1,1,1,0,0,0,0,4,7,High Daily Strain,1,1,2,2.0,1,Critical Prolonged Strain Window,0,8.33,3.33,7.0,5.46,3.05,1.91,0.0,10,0,4.7,Critical System Pressure,Immediate Escalation Required,Prolonged Window Pressure,5
2023-01-24,47,42,47,7433,175,7475,-128,1.98,False,Relief: Discharges Exceed Transfers,-860,0,No Current Backlog Pressure,0,True,2023,1,January,2023-01,Tuesday,7148.75,-215.0,3.14,0.0,7148.75,-215.0,3.14,0.0,326.25,326.25,87.0,87.0,True,True,False,False,Load Above Rolling Average,374.3531087088766,127.27398267779108,3.609778386549512,374.3531087088766,127.27398267779108,3.609778386549512,856.0,856.0,274.0,274.0,Moderate Load Volatility,High Intake Volatility,High Growth Volatility,5,High Volatility Pressure,145.0,14.0,-0.2400000000000002,0.0,-8.0,153.0,1.9781718963165047,-9.859154929577462,-16.000000000000004,2.101648351648344,False,False,False,False,False,False,False,System Load Increase,Net Intake Increase,0,No Major Spike,No Spike Risk,1,1,0,0,0,0,1,0,3,4,Moderate Daily Strain,1,0,2,2.0,1,Critical Prolonged Strain Window,0,8.33,0.0,4.0,5.61,2.75,1.71,0.0,10,0,3.49,High System Stress,Priority Monitoring Required,Prolonged Window Pressure,4
2023-01-25,20,22,41,7538,180,7560,-139,1.14,False,Relief: Discharges Exceed Transfers,-999,0,No Current Backlog Pressure,0,True,2023,1,January,2023-01,Wednesday,7231.0,-199.8,2.74,0.0,7231.0,-199.8,2.74,0.0,329.0,329.0,60.8,60.8,True,True,False,False,Load Above Rolling Average,372.7338192329749,115.34383381871784,3.250981390288169,372.7338192329749,115.34383381871784,3.250981390288169,941.0,941.0,274.0,274.0,Moderate Load Volatility,High Intake Volatility,High Growth Volatility,5,High Volatility Pressure,85.0,-11.0,-0.8400000000000001,0.0,-20.0,105.0,1.1371237458194017,8.59375,-47.61904761904761,1.412619399973103,False,False,False,False,False,False,False,System Load Increase,Net Intake Decrease,0,No Major Spike,No Spike Risk,1,1,0,0,0,0,1,0,3,4,Moderate Daily Strain,1,0,2,2.0,1,Critical Prolonged Strain Window,0,8.33,0.0,4.0,5.69,2.99,0.98,0.0,10,0,3.48,High System Stress,Priority Monitoring Required,Prolonged Window Pressure,4
2023-01-29,23,45,11,7472,303,7517,-292,-0.57,False,Relief: Discharges Exceed Transfers,-1291,0,No Current Backlog Pressure,0,False,2023,1,January,2023-01,Sunday,7278.67,-215.17,2.18,0.0,7278.67,-215.17,2.18,0.0,238.33,238.33,-76.83,-76.83,True,True,False,False,Load Above Rolling Average,353.2379745535107,109.81879013477916,3.2057308059161795,353.2379745535107,109.81879013477916,3.2057308059161795,941.0,941.0,274.0,274.0,Moderate Load Volatility,High Intake Volatility,High Growth Volatility,5,High Volatility Pressure,-43.0,-153.0,-1.71,0.0,23.0,-66.0,-0.5687830687830742,110.07194244604317,104.54545454545456,-0.8755638100291896,False,False,True,True,False,False,False,System Load Decrease,Net Intake Decrease,2,Moderate Pressure Spike,Moderate Spike Watch,1,1,1,1,0,0,0,0,4,7,High Daily Strain,1,1,2,2.0,1,Critical Prolonged Strain Window,0,8.33,3.33,7.0,5.65,6.28,0.49,0.0,10,0,4.84,Critical System Pressure,Immediate Escalation Required,Prolonged Window Pressure,5
2023-01-30,34,54,29,7743,196,7797,-167,3.72,False,Relief: Discharges Exceed Transfers,-1458,0,No Current Backlog Pressure,0,False,2023,1,January,2023-01,Monday,7352.71,-208.29,2.4,0.0,7352.71,-208.29,2.4,0.0,444.29,444.29,41.29,41.29,True,True,False,False,Load Above Rolling Average,377.3092075410273,101.88999670513012,2.9833753654926785,377.3092075410273,101.88999670513012,2.9833753654926785,1178.0,1178.0,274.0,274.0,Moderate Load Volatility,High Intake Volatility,High Growth Volatility,5,High Volatility Pressure,280.0,125.0,4.29,0.0,9.0,271.0,3.724890248769453,-42.8082191780822,20.0,3.626873661670227,True,False,True,False,True,False,False,System Load Increase,Net Intake Increase,3,High Pressure Spike,Multi-Factor Spike Risk,1,1,1,1,0,0,0,0,4,7,High Daily Strain,1,1,2,2.0,1,Critical Prolonged Strain Window,0,8.33,5.0,7.0,5.94,3.59,3.21,0.0,10,0,5.11,Critical System Pressure,Immediate Escalation Required,Prolonged Window Pressure,5
2023-01-31,26,36,36,7803,158,7839,-122,0.54,False,Relief: Discharges Exceed Transfers,-1580,0,No Current Backlog Pressure,0,False,2023,1,January,2023-01,Tuesday,7527.0,-168.29,2.48,0.0,7413.5,-197.5,2.17,0.0,312.0,425.5,46.29,75.5,True,True,False,False,Load Above Rolling Average,237.9362659761355,59.17407733603821,2.917090037299892,389.3378995166023,99.14203375532932,2.8396249123532398,668.0,1220.0,170.0,280.0,Moderate Load Volatility,High Intake Volatility,High Growth Volatility,5,High Volatility Pressure,42.0,45.0,-3.18,0.0,-18.0,60.0,0.538668718737978,-26.94610778443114,-33.333333333333336,0.7748934521503381,False,False,False,False,False,False,False,System Load Increase,Net Intake Increase,0,No Major Spike,No Spike Risk,1,1,0,0,0,0,0,0,2,3,Moderate Daily Strain,1,0,2,2.0,1,Critical Prolonged Strain Window,0,8.33,0.0,3.0,5.98,2.62,0.47,0.0,10,0,3.24,Moderate System Stress,Operational Watch Required,Prolonged Window Pressure,3
2023-02-01,25,32,27,7903,231,7935,-204,1.22,False,Relief: Discharges Exceed Transfers,-1784,0,No Current Backlog Pressure,0,False,2023,2,February,2023-02,Wednesday,7636.14,-170.57,1.46,0.0,7471.44,-198.22,2.07,0.0,298.86,463.56,-33.43,-5.78,True,True,False,False,Load Above Rolling Average,222.120409216433,60.35963646581809,1.3590910828302023,403.55176592077714,92.76418729469064,2.675084630021596,605.0,1316.0,170.0,280.0,Moderate Load Volatility,High Intake Volatility,Moderate Growth Volatility,4,Moderate Volatility Pressure,96.0,-82.0,0.6799999999999999,0.0,-4.0,100.0,1.2246460007653948,67.21311475409837,-11.111111111111116,1.281558374983982,False,False,False,False,False,False,False,System Load Increase,Net Intake Decrease,0,No Major Spike,No Spike Risk,1,1,0,0,0,0,0,0,2,3,Moderate Daily Strain,1,0,2,2.0,1,Critical Prolonged Strain Window,0,6.67,0.0,3.0,6.08,4.39,1.05,0.0,10,0,3.08,Moderate System Stress,Operational Watch Required,Prolonged Window Pressure,3
2023-02-02,15,13,23,7879,298,7892,-275,-0.54,False,Relief: Discharges Exceed Transfers,-2059,0,No Current Backlog Pressure,0,True,2023,2,February,2023-02,Thursday,7716.43,-189.57,1.07,0.0,7513.5,-205.9,1.81,0.0,175.57,378.5,-85.43,-69.1,True,True,False,False,Load Above Rolling Average,192.63251468608564,70.02584556875446,1.4966963619919709,403.0456963339681,90.76642795904466,2.653271565445196,460.0,1316.0,170.0,280.0,Moderate Load Volatility,High Intake Volatility,Moderate Growth Volatility,4,Moderate Volatility Pressure,-43.0,-71.0,-1.76,0.0,-19.0,-24.0,-0.5419029615627013,34.80392156862746,-59.375,-0.3036821460205008,False,False,False,False,False,False,False,System Load Decrease,Net Intake Decrease,0,No Major Spike,No Spike Risk,1,1,0,0,0,0,1,0,3,4,Moderate Daily Strain,1,0,2,2.0,1,Critical Prolonged Strain Window,0,6.67,0.0,4.0,6.03,5.91,0.47,0.0,10,0,3.36,Moderate System Stress,Operational Watch Required,Prolonged Window Pressure,3
