trend_period,reporting_days,period_start_date,period_end_date,avg_system_load,max_system_load,min_system_load,avg_net_daily_intake,total_net_daily_intake,avg_care_load_growth_pct,avg_backlog_severity_score,max_backlog_severity_score,avg_volatility_pressure_score,max_volatility_pressure_score,avg_pressure_spike_score,max_pressure_spike_score,avg_daily_strain_score,max_daily_strain_score,avg_final_pressure_stress_score,max_final_pressure_stress_score,normal_pressure_days,early_watch_days,moderate_stress_days,high_stress_days,critical_pressure_days,most_common_pressure_level,most_common_response_category,most_common_pressure_driver,trend_period_type,stress_day_count,stress_day_rate_pct,critical_pressure_rate_pct,high_or_critical_pressure_days,high_or_critical_pressure_rate_pct,previous_period,previous_avg_system_load,system_load_change,system_load_change_pct,previous_stress_score,stress_score_change,stress_score_change_pct,system_load_trend_direction,stress_score_trend_direction,normalized_load_movement,normalized_stress_movement,pressure_movement_score,pressure_trend_direction,pressure_movement_pattern,executive_pressure_signal
2023-01-12 00:00:00,1,2023-01-12,2023-01-12,6619.0,6619,6619,-402.0,-402,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.99,0.99,1,0,0,0,0,Normal Operating Pressure,Routine Monitoring,No Major Pressure Driver,Daily,0,0.0,0.0,0,0.0,,,,,,,,No Previous Period,No Previous Period,,,0.0,No Previous Period,Baseline Period,Baseline
2023-01-22 00:00:00,1,2023-01-22,2023-01-22,7171.0,7171,7171,-188.0,-188,8.34,0.0,0,5.0,5,6.0,6,7.0,7,6.07,6.07,0,0,0,0,1,Critical System Pressure,Immediate Escalation Required,Sudden Spike Pressure,Daily,1,100.0,100.0,1,100.0,2023-01-12 00:00:00,6619.0,552.0,8.339628342649947,0.99,5.08,513.1313131313132,Increasing,Increasing,0.11635456101447687,1.0,0.5139950085579623,Pressure Increasing,Broad Pressure Build-up,Watch Closely
2023-01-23 00:00:00,1,2023-01-23,2023-01-23,7330.0,7330,7330,-142.0,-142,2.22,0.0,0,5.0,5,2.0,2,7.0,7,4.7,4.7,0,0,0,0,1,Critical System Pressure,Immediate Escalation Required,Prolonged Window Pressure,Daily,1,100.0,100.0,1,100.0,2023-01-22 00:00:00,7171.0,159.0,2.2172639799191187,6.07,-1.37,-22.57001647446458,Increasing,Decreasing,0.03351517246612649,-0.26968503937007876,-0.10292492286016588,Pressure Decreasing,Pressure Cooling,Improving
2023-01-24 00:00:00,1,2023-01-24,2023-01-24,7475.0,7475,7475,-128.0,-128,1.98,0.0,0,5.0,5,0.0,0,4.0,4,3.49,3.49,0,0,0,1,0,High System Stress,Priority Monitoring Required,Prolonged Window Pressure,Daily,1,100.0,0.0,1,100.0,2023-01-23 00:00:00,7330.0,145.0,1.9781718963165076,4.7,-1.21,-25.744680851063826,Increasing,Decreasing,0.03056415099112164,-0.23818897637795275,-0.09037475632496184,Pressure Decreasing,Pressure Cooling,Improving
2023-01-25 00:00:00,1,2023-01-25,2023-01-25,7560.0,7560,7560,-139.0,-139,1.14,0.0,0,5.0,5,0.0,0,4.0,4,3.48,3.48,0,0,0,1,0,High System Stress,Priority Monitoring Required,Prolonged Window Pressure,Daily,1,100.0,0.0,1,100.0,2023-01-24 00:00:00,7475.0,85.0,1.1371237458193981,3.49,-0.010000000000000231,-0.28653295128940487,Increasing,Stable,0.01791691609824372,-0.0019685039370079195,0.008968477082380483,Pressure Stable,Load-Led Pressure Increase,Monitor Increase
2023-01-29 00:00:00,1,2023-01-29,2023-01-29,7517.0,7517,7517,-292.0,-292,-0.57,0.0,0,5.0,5,2.0,2,7.0,7,4.84,4.84,0,0,0,0,1,Critical System Pressure,Immediate Escalation Required,Prolonged Window Pressure,Daily,1,100.0,100.0,1,100.0,2023-01-25 00:00:00,7560.0,-43.0,-0.5687830687830688,3.48,1.3599999999999999,39.08045977011494,Stable,Increasing,-0.009063851673229177,0.26771653543307083,0.11548732252460583,Pressure Increasing,Stress-Led Pressure Increase,Watch Closely
2023-01-30 00:00:00,1,2023-01-30,2023-01-30,7797.0,7797,7797,-167.0,-167,3.72,0.0,0,5.0,5,3.0,3,7.0,7,5.11,5.11,0,0,0,0,1,Critical System Pressure,Immediate Escalation Required,Prolonged Window Pressure,Daily,1,100.0,100.0,1,100.0,2023-01-29 00:00:00,7517.0,280.0,3.724890248769456,4.84,0.27000000000000046,5.578512396694225,Increasing,Increasing,0.05902042950009696,0.05314960629921269,0.056378559059699046,Pressure Increasing,Broad Pressure Build-up,Watch Closely
2023-01-31 00:00:00,1,2023-01-31,2023-01-31,7839.0,7839,7839,-122.0,-122,0.54,0.0,0,5.0,5,0.0,0,3.0,3,3.24,3.24,0,0,1,0,0,Moderate System Stress,Operational Watch Required,Prolonged Window Pressure,Daily,1,100.0,0.0,0,0.0,2023-01-30 00:00:00,7797.0,42.0,0.5386687187379762,5.11,-1.87,-36.59491193737769,Stable,Decreasing,0.008853064425014545,-0.36811023622047245,-0.1607804208654546,Pressure Decreasing,Pressure Cooling,Improving
2023-02-01 00:00:00,1,2023-02-01,2023-02-01,7935.0,7935,7935,-204.0,-204,1.22,0.0,0,4.0,4,0.0,0,3.0,3,3.08,3.08,0,0,1,0,0,Moderate System Stress,Operational Watch Required,Prolonged Window Pressure,Daily,1,100.0,0.0,0,0.0,2023-01-31 00:00:00,7839.0,96.0,1.2246460007654039,3.24,-0.16000000000000014,-4.938271604938276,Increasing,Stable,0.020235575828604673,-0.03149606299212601,-0.003043661640724133,Pressure Stable,Load-Led Pressure Increase,Monitor Increase
2023-02-02 00:00:00,1,2023-02-02,2023-02-02,7892.0,7892,7892,-275.0,-275,-0.54,0.0,0,4.0,4,0.0,0,4.0,4,3.36,3.36,0,0,1,0,0,Moderate System Stress,Operational Watch Required,Prolonged Window Pressure,Daily,1,100.0,0.0,0,0.0,2023-02-01 00:00:00,7935.0,-43.0,-0.5419029615626969,3.08,0.2799999999999998,9.090909090909085,Stable,Increasing,-0.009063851673229177,0.05511811023622043,0.019818031186023148,Pressure Stable,Stress-Led Pressure Increase,Watch Closely
